imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
d0023,abierto,B5,134.7074,0.220061,4.3785,15.4508,100.0,4.9313,CRITICA,6.0348,0.168644,26.9732,88.5301,0.212136,nan,3.6012,nan,1,1,1188.778,nan
d0054,abierto,B5,130.7335,0.208247,4.3701,15.4152,100.0,5.0637,CRITICA,6.3138,0.177785,26.9633,88.2087,0.195944,0.204499,5.9078,1.8001,1,1,1213.003,nan
d0073,abierto,B5,133.7511,0.204412,4.3735,15.2853,100.0,4.8571,CRITICA,6.0872,0.171196,27.1139,88.5718,0.195649,nan,4.2867,nan,1,1,1015.331,nan
d0115,abierto,B5,134.7699,0.179629,4.4003,15.1548,100.0,4.9224,CRITICA,6.0138,0.170757,27.1884,88.755,0.166043,0.2014,7.5629,12.1204,1,1,1048.878,nan
d0131,abierto,B5,133.0212,0.207191,4.3765,15.3773,100.0,5.0136,CRITICA,6.1534,0.172926,27.0099,88.4399,0.172113,0.202329,16.9304,2.3465,1,1,1177.302,nan
d0184,abierto,B5,137.2668,0.207389,4.3743,15.1885,100.0,4.8697,CRITICA,5.8694,0.167586,27.1616,88.935,0.176656,0.216015,14.8192,4.1594,1,1,1110.864,nan
d0342,abierto,B5,135.2343,0.21457,4.3668,15.4698,100.0,4.9466,CRITICA,6.0369,0.170686,26.945,88.5607,0.194314,0.202131,9.44,5.797,1,1,1119.445,nan
d0374,abierto,B5,134.0837,0.201444,4.363,15.4499,100.0,4.9415,CRITICA,6.1148,0.171244,26.9545,88.4775,0.199853,0.213874,0.7901,6.1704,1,1,1048.548,nan
d0398,abierto,B5,135.0996,0.222484,4.3614,15.3035,100.0,4.9477,CRITICA,6.0308,0.169145,27.056,88.6724,0.200953,0.215221,9.6775,3.2645,1,1,1121.957,nan
d0416,abierto,B5,134.9502,0.218655,4.3936,15.535,100.0,4.8336,CRITICA,6.0653,0.174202,26.9131,88.4883,0.203161,0.210229,7.0861,3.8536,1,1,1129.816,nan
